code	char	count	examples
0247	ギ	33	game_dump\DATA\MEMCARD.DAT[2003]: アギト{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[2002]: 『ライダーエネルギー（Ｓ）』{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[2003]: 『ライダーエネルギー（Ｌ）』{END} | game_dump\DATA\MENU\ITEM_MSG.DAT[102]: 『ライダーエネルギー（Ｓ）』\nライダーエネルギーを少し回復できる{END} | game_dump\DATA\MENU\ITEM_MSG.DAT[103]: 『ライダーエネルギー（Ｌ）』\nライダーエネルギーを大きく回復できる{END}
0248	グ	50	game_dump\DATA\MENU\CONFIG_MSG.DAT[100]: キーコンフィグを変更します{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1031]: 『グリーンプレート』{END} | game_dump\DATA\MENU\ITEM_MSG.DAT[7]: 『ガス室の鍵』\nタグに『ガス室内壁』とかかれている{END} | game_dump\DATA\MENU\ITEM_MSG.DAT[10]: 『ロック解除キー』\nタグに中央制御室とかかれている{END} | game_dump\DATA\MENU\ITEM_MSG.DAT[11]: 『ロック解除キー』\nタグに変電器室とかかれている{END}
0249	ゲ	32	game_dump\DATA\MEMCARD.DAT[3]: システム設定ファイルの作成を\n行いませんでした\n\nこのままゲームを開始しますか？{END} | game_dump\DATA\MEMCARD.DAT[6]: 設定を保存せずにゲームに戻りますか？{END} | game_dump\DATA\MEMCARD.DAT[7]: メモリーカード（ＰＳ２）が\nメモリーカード差込口１に\n差されていません\n\nこのゲームのデータをセーブするには\n３０５ＫＢ以上の空き容量が必要です\n\nこのままゲームを開始しますか？{END} | game_dump\DATA\MEMCARD.DAT[9]: このゲームのデータをセーブするには\nメモリーカード（ＰＳ２）に\nシステム設定ファイルを\n作成する必要があります\n\nシステム設定ファイルを作成しても\nよろしいですか？{END} | game_dump\DATA\MEMCARD.DAT[14]: メモリーカード差込口１に差されている\nメモリーカード（ＰＳ２）の\n空き容量が不足しています\nこのゲームのデータをセーブするには\n３０５ＫＢ以上の空き容量が必要です\n\nこのままゲームを開始しますか？{END}
024A	ゴ	20	game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1030]: 『ゴールドプレート』{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1037]: 『ゴールドプレート』{END} | game_dump\DATA\MENU\ITEM_MSG.DAT[16]: 『ジャンパーケーブル』\n水色のゴムでコーティングされた\n配電用のケーブル{END} | game_dump\DATA\MENU\ITEM_MSG.DAT[31]: 『ゴールドプレート』\n真中にメダルがはめこまれた\n金のカード{END} | game_dump\DATA\MENU\ITEM_MSG.DAT[38]: 『ゴールドプレート』\n真中にメダルがはめこまれた\n金のカード{END}
024B	ザ	5	game_dump\DATA\SCREVENT\MSG\EV085.DAT[3]: ザンジオー、お前の力を試すがよい{END} | game_dump\DATA\SCREVENT\MSG\EV086.DAT[0]: 仮面ライダー！\n私のザンジオーを倒したというのか！？{END} | game_dump\DATA\SCREVENT\MSG\EV203.DAT[10]: 怪人ファイル『ザンジオー』\nを入手した{END} | game_dump\DATA\SCREVENT\MSG\K_FILE.DAT[2]: 怪人ファイル『ギリザメス』\nを入手した{END} | game_dump\DATA\SCREVENT\MSG\K_FILE.DAT[20]: 怪人ファイル『ザンジオー』\nを入手した{END}
024C	ジ	116	game_dump\DATA\MEMCARD.DAT[3012]: アジト　地下通路{END} | game_dump\DATA\MEMCARD.DAT[3013]: アジト　地下通路{END} | game_dump\DATA\MEMCARD.DAT[3014]: アジト　坑道跡{END} | game_dump\DATA\MEMCARD.DAT[3015]: アジト　地下搬送路{END} | game_dump\DATA\MEMCARD.DAT[3016]: アジト　通路{END}
024D	ズ	3	game_dump\DATA\SCREVENT\MSG\EV039.DAT[1]: 走れイナズマァー！！{END} | game_dump\DATA\SCREVENT\MSG\K_FILE.DAT[0]: 怪人ファイル『ミミズ男』\nを入手した{END} | game_dump\DATA\SCREVENT\MSG\K_FILE.DAT[19]: 怪人ファイル『ナマズギラー』\nを入手した{END}
024E	ゾ	8	game_dump\DATA\SCREVENT\MSG\EV056.DAT[2]: 俺の名はゾル大佐{END} | game_dump\DATA\SCREVENT\MSG\EV056.DAT[23]: ゾル、何度蘇ろうと…{END} | game_dump\DATA\SCREVENT\MSG\EV056.DAT[27]: …逃げたか、ゾルめ{END} | game_dump\DATA\SCREVENT\MSG\EV078.DAT[0]: ゾルッ！{END} | game_dump\DATA\SCREVENT\MSG\H_FILE.DAT[41]: ファイル『ゾル大佐の作戦計画書』を\n入手した{END}
024F	ダ	117	game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1021]: 『テープレコーダー』{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1022]: 『カセットレコーダー』{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1023]: 『小型カセットレコーダー』{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1024]: 『ＩＣレコーダー』{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1033]: 『ショッカーメダル』{END}
0301	デ	42	game_dump\DATA\MEMCARD.DAT[7]: メモリーカード（ＰＳ２）が\nメモリーカード差込口１に\n差されていません\n\nこのゲームのデータをセーブするには\n３０５ＫＢ以上の空き容量が必要です\n\nこのままゲームを開始しますか？{END} | game_dump\DATA\MEMCARD.DAT[9]: このゲームのデータをセーブするには\nメモリーカード（ＰＳ２）に\nシステム設定ファイルを\n作成する必要があります\n\nシステム設定ファイルを作成しても\nよろしいですか？{END} | game_dump\DATA\MEMCARD.DAT[12]: データが破損しています\n\nセーブするためには\n新たにシステム設定ファイルを\n作成する必要があります\n\nシステム設定ファイルを作成しても\nよろしいですか？{END} | game_dump\DATA\MEMCARD.DAT[14]: メモリーカード差込口１に差されている\nメモリーカード（ＰＳ２）の\n空き容量が不足しています\nこのゲームのデータをセーブするには\n３０５ＫＢ以上の空き容量が必要です\n\nこのままゲームを開始しますか？{END} | game_dump\DATA\MEMCARD.DAT[18]: データが破損しています{END}
0302	ド	191	game_dump\DATA\MEMCARD.DAT[7]: メモリーカード（ＰＳ２）が\nメモリーカード差込口１に\n差されていません\n\nこのゲームのデータをセーブするには\n３０５ＫＢ以上の空き容量が必要です\n\nこのままゲームを開始しますか？{END} | game_dump\DATA\MEMCARD.DAT[8]: メモリーカード差込口１に差されている\nメモリーカード（ＰＳ２）の\nフォーマットがされていません\n\nフォーマットをしますか？{END} | game_dump\DATA\MEMCARD.DAT[9]: このゲームのデータをセーブするには\nメモリーカード（ＰＳ２）に\nシステム設定ファイルを\n作成する必要があります\n\nシステム設定ファイルを作成しても\nよろしいですか？{END} | game_dump\DATA\MEMCARD.DAT[10]: 新たにメモリーカード（ＰＳ２）が\n差されました{END} | game_dump\DATA\MEMCARD.DAT[11]: ロードに失敗しました{END}
0303	バ	46	game_dump\DATA\MENU\CONFIG_MSG.DAT[601]: バイブレーション機能を使用します{END} | game_dump\DATA\MENU\CONFIG_MSG.DAT[602]: バイブレーション機能を使用しません{END} | game_dump\DATA\MENU\FIELD_NAME.DAT[32]: バイクアクション岸壁コース{END} | game_dump\DATA\MENU\FIELD_NAME.DAT[33]: バイクアクション採石場コース{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1000]: 『レバー』{END}
0304	ビ	28	game_dump\DATA\MEMCARD.DAT[3010]: 発電所　タービン室{END} | game_dump\DATA\MENU\CONFIG_MSG.DAT[701]: 各色調がはっきりと映るように\nテレビの明るさ調整をしてください{END} | game_dump\DATA\MENU\FIELD_NAME.DAT[10]: 発電所　タービン室{END} | game_dump\DATA\MENU\FIELD_NAME.DAT[1110]: 発電所　タービン室{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1016]: 『タービン室の鍵』{END}
0305	ブ	67	game_dump\DATA\MEMCARD.DAT[4]: セーブ中です{END} | game_dump\DATA\MEMCARD.DAT[5]: オプションの設定をセーブしますか？{END} | game_dump\DATA\MEMCARD.DAT[7]: メモリーカード（ＰＳ２）が\nメモリーカード差込口１に\n差されていません\n\nこのゲームのデータをセーブするには\n３０５ＫＢ以上の空き容量が必要です\n\nこのままゲームを開始しますか？{END} | game_dump\DATA\MEMCARD.DAT[9]: このゲームのデータをセーブするには\nメモリーカード（ＰＳ２）に\nシステム設定ファイルを\n作成する必要があります\n\nシステム設定ファイルを作成しても\nよろしいですか？{END} | game_dump\DATA\MEMCARD.DAT[12]: データが破損しています\n\nセーブするためには\n新たにシステム設定ファイルを\n作成する必要があります\n\nシステム設定ファイルを作成しても\nよろしいですか？{END}
0306	ベ	24	game_dump\DATA\MENU\CONFIG_MSG.DAT[302]: 変身シーンのイベントを省略します{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1003]: 『エレベーター起動キー』{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1008]: 『エレベーター起動キー』{END} | game_dump\DATA\MENU\ITEM_MSG.DAT[4]: 『エレベーター起動キー』\nエレベーターを動かすのに使用する\nカード式の鍵{END} | game_dump\DATA\MENU\ITEM_MSG.DAT[9]: 『エレベーター起動キー』\nエレベーターを動かすのに使用する\nカード式の鍵{END}
0307	ボ	48	game_dump\DATA\MENU\STATUS_MSG.DAT[0]: 操作\nＬ１ボタン（チャージ）＋パンチ\nチャージ麗１〜５０％の必殺技{END} | game_dump\DATA\MENU\STATUS_MSG.DAT[1]: 操作\nＬ１ボタン（チャージ）＋キック\nチャージ麗１〜５０％の必殺技{END} | game_dump\DATA\MENU\STATUS_MSG.DAT[2]: 操作\nＬ１ボタン（チャージ）＋パンチ\nチャージ麗５１〜１００％の必殺技{END} | game_dump\DATA\MENU\STATUS_MSG.DAT[3]: 操作\nＬ１ボタン（チャージ）＋キック\nチャージ麗５１〜１００％の必殺技{END} | game_dump\DATA\MENU\STATUS_MSG.DAT[4]: 破壊力\nＬ１ボタン（チャージ）で強化される\n必殺技の破壊力をテストせよ{END}
0308	パ	87	game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1015]: 『ジャンパーケーブル』{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1017]: 『パンチカード赤』{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1018]: 『パンチカード青』{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1019]: 『パンチカード緑』{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1025]: 『パスコード（書き込み前）』{END}
0309	ピ	5	game_dump\DATA\MENU\ITEM_MSG.DAT[18]: 『パンチカード赤』\nコンピューター読み取り用の穴があいた\n赤い色のカード{END} | game_dump\DATA\MENU\ITEM_MSG.DAT[19]: 『パンチカード青』\nコンピューター読み取り用の穴があいた\n青い色のカード{END} | game_dump\DATA\MENU\ITEM_MSG.DAT[20]: 『パンチカード緑』\nコンピューター読み取り用の穴があいた\n緑色のカード{END} | game_dump\DATA\SCREVENT\MSG\R11D.DAT[2]: 向こう側にコンピュータがみえる\nこちらからは行けないようだ{END} | game_dump\DATA\SCREVENT\MSG\R22D.DAT[13]: コンピューターが並んでいる\n特に気になるところは無い{END}
030A	プ	96	game_dump\DATA\MEMCARD.DAT[5]: オプションの設定をセーブしますか？{END} | game_dump\DATA\MEMCARD.DAT[28]: 　番のプレイデータを上書きしますか？{END} | game_dump\DATA\MEMCARD.DAT[30]: 　番のプレイデータをロードしますか？{END} | game_dump\DATA\MEMCARD.DAT[3011]: 発電所　燃料プール{END} | game_dump\DATA\MENU\CONFIG_MSG.DAT[1000]: オプションの設定をセーブしますか？{END}
030C	ポ	8	game_dump\DATA\SCREVENT\MSG\H_FILE.DAT[18]: ファイル『研究レポート』を\n入手した{END} | game_dump\DATA\SCREVENT\MSG\R07A.DAT[8]: 『ＤＮＡ解析表』『ホヤの研究』\n『ゲノムレポート』『水棲生物研究書』{END} | game_dump\DATA\SCREVENT\MSG\R07B.DAT[8]: 『ＤＮＡ解析表』『ホヤの研究』\n『ゲノムレポート』『水棲生物研究書』{END} | game_dump\DATA\SCREVENT\MSG\R07C.DAT[8]: 『ＤＮＡ解析表』『ホヤの研究』\n『ゲノムレポート』『水棲生物研究書』{END} | game_dump\DATA\SCREVENT\MSG\R17A.DAT[7]: ＤＮＡモデルのかかれたポスターだ\n特に気になるところは無い{END}
030D	ァ	163	game_dump\DATA\MEMCARD.DAT[2]: システム設定ファイルを\n作成中です{END} | game_dump\DATA\MEMCARD.DAT[3]: システム設定ファイルの作成を\n行いませんでした\n\nこのままゲームを開始しますか？{END} | game_dump\DATA\MEMCARD.DAT[9]: このゲームのデータをセーブするには\nメモリーカード（ＰＳ２）に\nシステム設定ファイルを\n作成する必要があります\n\nシステム設定ファイルを作成しても\nよろしいですか？{END} | game_dump\DATA\MEMCARD.DAT[12]: データが破損しています\n\nセーブするためには\n新たにシステム設定ファイルを\n作成する必要があります\n\nシステム設定ファイルを作成しても\nよろしいですか？{END} | game_dump\DATA\MEMCARD.DAT[15]: システム設定ファイルの作成に\n失敗しました{END}
030E	ィ	30	game_dump\DATA\MENU\CONFIG_MSG.DAT[100]: キーコンフィグを変更します{END} | game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1029]: 『データスティック』{END} | game_dump\DATA\MENU\ITEM_MSG.DAT[16]: 『ジャンパーケーブル』\n水色のゴムでコーティングされた\n配電用のケーブル{END} | game_dump\DATA\MENU\ITEM_MSG.DAT[30]: 『データスティック』\nデータを記録する為のものだ\n裏に「所長用」とかかれている{END} | game_dump\DATA\SCREVENT\MSG\EV042.DAT[16]: キィー！{END}
030F	ゥ	6	game_dump\DATA\SCREVENT\MSG\EV050.DAT[1]: ジグゥゥゥー{END} | game_dump\DATA\SCREVENT\MSG\EV099.DAT[5]: トゥァ！{END} | game_dump\DATA\SCREVENT\MSG\EV101.DAT[1]: グゥ…光の…力か…{END} | game_dump\DATA\SCREVENT\MSG\EV125.DAT[5]: トゥァ！{END}
0310	ェ	5	game_dump\DATA\MEMCARD.DAT[31]: メモリーカード（ＰＳ２）を\nチェック中です{END} | game_dump\DATA\SCREVENT\MSG\EV059.DAT[10]: ５章１号編完\nキャラをチェンジしてください{END} | game_dump\DATA\SCREVENT\MSG\EV114.DAT[1]: グウェ、グウェ…{END} | game_dump\DATA\SCREVENT\MSG\MEMCARD.DAT[31]: メモリーカード（ＰＳ２）を\nチェック中です{END}
0311	ォ	30	game_dump\DATA\MEMCARD.DAT[1]: フォーマット中です{END} | game_dump\DATA\MEMCARD.DAT[8]: メモリーカード差込口１に差されている\nメモリーカード（ＰＳ２）の\nフォーマットがされていません\n\nフォーマットをしますか？{END} | game_dump\DATA\MEMCARD.DAT[13]: フォーマットに失敗しました{END} | game_dump\DATA\MEMCARD.DAT[16]: フォーマットを行いませんでした\n\nこのままゲームを開始しますか？{END} | game_dump\DATA\MEMCARD.DAT[17]: メモリーカード差込口１に差されている\nメモリーカード（ＰＳ２）の\nフォーマットがされていません\n\nメモリーカード差込口１に\nフォーマットのされている\nメモリーカード（ＰＳ２）を\n差してください{END}
0312	ャ	49	game_dump\DATA\MENU\ITEM_GET_MSG.DAT[1015]: 『ジャンパーケーブル』{END} | game_dump\DATA\MENU\ITEM_MSG.DAT[16]: 『ジャンパーケーブル』\n水色のゴムでコーティングされた\n配電用のケーブル{END} | game_dump\DATA\MENU\STATUS_MSG.DAT[0]: 操作\nＬ１ボタン（チャージ）＋パンチ\nチャージ麗１〜５０％の必殺技{END} | game_dump\DATA\MENU\STATUS_MSG.DAT[1]: 操作\nＬ１ボタン（チャージ）＋キック\nチャージ麗１〜５０％の必殺技{END} | game_dump\DATA\MENU\STATUS_MSG.DAT[2]: 操作\nＬ１ボタン（チャージ）＋パンチ\nチャージ麗５１〜１００％の必殺技{END}
0313	ュ	17	game_dump\DATA\MENU\ITEM_MSG.DAT[18]: 『パンチカード赤』\nコンピューター読み取り用の穴があいた\n赤い色のカード{END} | game_dump\DATA\MENU\ITEM_MSG.DAT[19]: 『パンチカード青』\nコンピューター読み取り用の穴があいた\n青い色のカード{END} | game_dump\DATA\MENU\ITEM_MSG.DAT[20]: 『パンチカード緑』\nコンピューター読み取り用の穴があいた\n緑色のカード{END} | game_dump\DATA\SCREVENT\MSG\EV042.DAT[14]: ビシュッ！{END} | game_dump\DATA\SCREVENT\MSG\FILE_HINT.DAT[1]: 「ドア管理マニュアル」\nとかかれたファイルを入手した{END}
0314	ョ	32	game_dump\DATA\MEMCARD.DAT[5]: オプションの設定をセーブしますか？{END} | game_dump\DATA\MENU\CONFIG_MSG.DAT[601]: バイブレーション機能を使用します{END} | game_dump\DATA\MENU\CONFIG_MSG.DAT[602]: バイブレーション機能を使用しません{END} | game_dump\DATA\MENU\CONFIG_MSG.DAT[1000]: オプションの設定をセーブしますか？{END} | game_dump\DATA\MENU\FIELD_NAME.DAT[32]: バイクアクション岸壁コース{END}
0315	ッ	195	game_dump\DATA\MEMCARD.DAT[1]: フォーマット中です{END} | game_dump\DATA\MEMCARD.DAT[8]: メモリーカード差込口１に差されている\nメモリーカード（ＰＳ２）の\nフォーマットがされていません\n\nフォーマットをしますか？{END} | game_dump\DATA\MEMCARD.DAT[13]: フォーマットに失敗しました{END} | game_dump\DATA\MEMCARD.DAT[16]: フォーマットを行いませんでした\n\nこのままゲームを開始しますか？{END} | game_dump\DATA\MEMCARD.DAT[17]: メモリーカード差込口１に差されている\nメモリーカード（ＰＳ２）の\nフォーマットがされていません\n\nメモリーカード差込口１に\nフォーマットのされている\nメモリーカード（ＰＳ２）を\n差してください{END}
0316	悪	16	game_dump\DATA\SCREVENT\MSG\EV002.DAT[8]: 邪悪な力により再びこの世に生を受けた\n闇の世界の創造者なのだ！{END} | game_dump\DATA\SCREVENT\MSG\EV002.DAT[9]: ショッカーではない…邪悪な…力…{END} | game_dump\DATA\SCREVENT\MSG\EV015.DAT[2]: 悪い予感がする\nこの廃塵には何かある{END} | game_dump\DATA\SCREVENT\MSG\EV092.DAT[1]: だが、この世に悪のある限り…\n正義の系譜に終りは無い！{END} | game_dump\DATA\SCREVENT\MSG\EV093.DAT[0]: 奴のあの姿…邪悪な心…\nあえて呼ぶなら…邪眼{END}
0317	闇	21	game_dump\DATA\SCREVENT\MSG\DOOR_CLOSE.DAT[28]: …床が落ちている\n闇の奥にわずかな光がみえる…{END} | game_dump\DATA\SCREVENT\MSG\EV002.DAT[8]: 邪悪な力により再びこの世に生を受けた\n闇の世界の創造者なのだ！{END} | game_dump\DATA\SCREVENT\MSG\EV022.DAT[3]: …やがて来る闇の世界の住人なのだ{END} | game_dump\DATA\SCREVENT\MSG\EV022.DAT[7]: デストロンではない…闇の世界…\n世界の終り…{END} | game_dump\DATA\SCREVENT\MSG\EV035.DAT[3]: 言え！闇の世界とは、いったい何だ！{END}
0318	以	19	game_dump\DATA\MEMCARD.DAT[7]: メモリーカード（ＰＳ２）が\nメモリーカード差込口１に\n差されていません\n\nこのゲームのデータをセーブするには\n３０５ＫＢ以上の空き容量が必要です\n\nこのままゲームを開始しますか？{END} | game_dump\DATA\MEMCARD.DAT[14]: メモリーカード差込口１に差されている\nメモリーカード（ＰＳ２）の\n空き容量が不足しています\nこのゲームのデータをセーブするには\n３０５ＫＢ以上の空き容量が必要です\n\nこのままゲームを開始しますか？{END} | game_dump\DATA\MEMCARD.DAT[37]: メモリーカード差込口１に差されている\nメモリーカード（ＰＳ２）の\n空き容量が不足しています\n\n３０５ＫＢ以上の空き容量のある\nメモリーカード（ＰＳ２）を\nメモリーカード差込口１へと\n差してください{END} | game_dump\DATA\MENU\ITEM_MSG.DAT[1002]: これ以上アイテムを置けない{END} | game_dump\DATA\SCREVENT\MSG\EV035.DAT[0]: 仮面ライダー！！\nこれ以上、我々の邪魔はさせん！{END}
0319	位	2	game_dump\DATA\SCREVENT\MSG\R12POOL.DAT[10]: 「貯水の入れ替えを開始します」\n水位がさがっていく{END} | game_dump\DATA\SCREVENT\MSG\R12POOL.DAT[14]: 「橋を元の位置に戻してください」{END}
031A	意	3	game_dump\DATA\SCREVENT\MSG\EV095.DAT[20]: 邪眼の意識に触れ、時空を制御した…\n田所博土…{END} | game_dump\DATA\SCREVENT\MSG\EV096.DAT[2]: 博土の意識はこの中にある…たとえ奴…\n邪眼に操られていたとしても、{END} | game_dump\DATA\SCREVENT\MSG\R06KANKI.DAT[8]: 壊れている…片方は使用できそうだが…\n操作しても意味が無い{END}
031B	為	11	game_dump\DATA\MENU\ITEM_MSG.DAT[3]: 『発電所ＩＤカードＬＶ１』\n発電所内の通路を使用する為の\nＩＤカード{END} | game_dump\DATA\MENU\ITEM_MSG.DAT[13]: 『送電切換装置の鍵』\n装置に使用する為の小さな鍵{END} | game_dump\DATA\MENU\ITEM_MSG.DAT[30]: 『データスティック』\nデータを記録する為のものだ\n裏に「所長用」とかかれている{END} | game_dump\DATA\MENU\ITEM_MSG.DAT[36]: 『発電所ＩＤカードＬＶ１』\n発電所内の通路を使用する為の\nＩＤカード{END} | game_dump\DATA\SCREVENT\MSG\EV024.DAT[9]: …俺は博土を助ける為にここへ来た…\nお前に協力する為ではない…{END}
031C	異	7	game_dump\DATA\SCREVENT\MSG\EV048.DAT[4]: 君たちの時代に何か異変はないか？{END} | game_dump\DATA\SCREVENT\MSG\EV048.DAT[6]: そうか！ここは孤立した変異空間なんだ{END} | game_dump\DATA\SCREVENT\MSG\EV048.DAT[31]: うむ、おそらく奴がこの変異空間を\n作り、怪人を蘇らせた黒幕…{END} | game_dump\DATA\SCREVENT\MSG\EV079.DAT[4]: 警告…システム内に異物混入…\n警告…システム内に異物混入{END} | game_dump\DATA\SCREVENT\MSG\EV093.DAT[3]: この変異空間も邪眼のしわざか…{END}
031D	移	5	game_dump\DATA\SCREVENT\MSG\EV095.DAT[7]: まさか！　邪眼は肉体ごと時空を\n移動できるのか！？{END} | game_dump\DATA\SCREVENT\MSG\EV096.DAT[25]: ただ転移可能なのは物覚…\n生身では無い身体を持つ者だけだろう…{END} | game_dump\DATA\SCREVENT\MSG\H_FILE.DAT[29]: ファイル『ＴＩＥＲＲＡ　移送記録』を\n入手した{END} | game_dump\DATA\SCREVENT\MSG\UPCUT.DAT[14]: 移動を完了しました{END} | game_dump\DATA\SCREVENT\MSG\UPCUT.DAT[32]: すでにクレーンは移動している{END}
031E	維	1	game_dump\DATA\SCREVENT\MSG\EV064.DAT[1]: フィールド維持８０％まで減少…{END}
031F	衣	1	game_dump\DATA\SCREVENT\MSG\R07D.DAT[1]: 中に白衣の男たちが写っている……{END}
0320	違	11	game_dump\DATA\SCREVENT\MSG\EV014.DAT[4]: ヤツが逃げ込んだのは、\nここに間違いない…{END} | game_dump\DATA\SCREVENT\MSG\EV022.DAT[9]: これは…奴等の仕業に間違いない！{END} | game_dump\DATA\SCREVENT\MSG\EV029.DAT[2]: あのトラックを追えば、コバルト爆弾の\nありかを突き止められるに違いない！{END} | game_dump\DATA\SCREVENT\MSG\EV048.DAT[7]: 多分間違いない。ここでは外界とは\n違う時間が流れている…{END} | game_dump\DATA\SCREVENT\MSG\EV048.DAT[44]: この空間でした事は、この時間軸の\n中ですぐに影響するに違いない{END}
0321	遺	2	game_dump\DATA\SCREVENT\MSG\EV024.DAT[3]: 博土の研究は、遺伝子の合成に\nよる究極の人工生命体の生成…{END} | game_dump\DATA\SCREVENT\MSG\H_FILE.DAT[24]: ファイル『遺伝子融合実験の記録』を\n入手した{END}
0322	井	4	game_dump\DATA\MEMCARD.DAT[3019]: 発電所　坑井{END} | game_dump\DATA\MENU\FIELD_NAME.DAT[19]: 発電所　坑井{END} | game_dump\DATA\MENU\FIELD_NAME.DAT[1200]: 発電所　坑井{END} | game_dump\DATA\SCREVENT\MSG\MEMCARD.DAT[3019]: 発電所　坑井{END}
0323	一	19	game_dump\DATA\MENU\ITEM_MSG.DAT[21]: 『電磁キー』\n一定間隔で磁気をおびさせた鍵\n専用の機城で磁気の設定ができる{END} | game_dump\DATA\SCREVENT\MSG\EV002.DAT[6]: 再生？…フン、オレはもはや\nショッカーの一員ではない{END} | game_dump\DATA\SCREVENT\MSG\EV022.DAT[2]: …蘇った我々は\nもはや組織の一員などではない{END} | game_dump\DATA\SCREVENT\MSG\EV024.DAT[2]: やはり…あの写真に写っていたのは\n君か…教えてくれ。博土は一体何者なんだ？{END} | game_dump\DATA\SCREVENT\MSG\EV024.DAT[7]: 唯一の望みは…俺が…{END}
0324	員	16	game_dump\DATA\MENU\FIELD_NAME.DAT[31]: 気密室（作業員室）{END} | game_dump\DATA\SCREVENT\MSG\EV002.DAT[6]: 再生？…フン、オレはもはや\nショッカーの一員ではない{END} | game_dump\DATA\SCREVENT\MSG\EV022.DAT[2]: …蘇った我々は\nもはや組織の一員などではない{END} | game_dump\DATA\SCREVENT\MSG\EV040.DAT[1]: 作業員を\n洗脳して操っているのはあの女か…{END} | game_dump\DATA\SCREVENT\MSG\EV042.DAT[1]: 作業員を操っているのはお前だな！{END}
0326	引	1	game_dump\DATA\SCREVENT\MSG\EV051.DAT[1]: あのパイプは…さっきのガス室に\n引き込まれていたのと同じもの…{END}
0327	隠	2	game_dump\DATA\SCREVENT\MSG\K_FILE.DAT[28]: 奥に何か隠してある…{END} | game_dump\DATA\SCREVENT\MSG\R05A.DAT[1]: 物陰に何か隠してある…{END}
0328	運	14	game_dump\DATA\SCREVENT\MSG\EV029.DAT[0]: 爆弾は上から運んでいるのか{END} | game_dump\DATA\SCREVENT\MSG\EV061.DAT[3]: きっと、奴らが運んでたのは\n基地を造るための資材なんだ{END} | game_dump\DATA\SCREVENT\MSG\EV062.DAT[0]: やっぱりここから運んでるんだ…{END} | game_dump\DATA\SCREVENT\MSG\EV108.DAT[6]: 俺たちよりも先に、アギトの力で運命\nと戦った人達がいたんです{END} | game_dump\DATA\SCREVENT\MSG\EV108.DAT[9]: 運命は、この力を未来に\n伝える事なんじゃないかって…{END}
0329	影	5	game_dump\DATA\SCREVENT\MSG\EV048.DAT[44]: この空間でした事は、この時間軸の\n中ですぐに影響するに違いない{END} | game_dump\DATA\SCREVENT\MSG\EV060.DAT[5]: 本郷！…まだガスの影響が{END} | game_dump\DATA\SCREVENT\MSG\EV096.DAT[29]: さらに、空間の消滅によって\nどんな影響が出るか…{END} | game_dump\DATA\SCREVENT\MSG\EV111.DAT[7]: 人知れず、人頬の未来を影で支える戦い{END} | game_dump\DATA\SCREVENT\MSG\EV111.DAT[10]: 影…闇から生まれた者だからこそ…\n俺たちは光を目指す{END}
032A	映	11	game_dump\DATA\MENU\CONFIG_MSG.DAT[701]: 各色調がはっきりと映るように\nテレビの明るさ調整をしてください{END} | game_dump\DATA\SCREVENT\MSG\EV007.DAT[7]: お前たちは何者なんだ？それに\nこの装置に映ってる年号はいったい？{END} | game_dump\DATA\SCREVENT\MSG\R01GATE.DAT[0]: モニターが施設内の扉を映し出している\nここは発電所を管理する部屋のようだ{END} | game_dump\DATA\SCREVENT\MSG\R06A.DAT[0]: 何の装置だろうか\n画面に何か映し出されている…{END} | game_dump\DATA\SCREVENT\MSG\R06B.DAT[0]: 何の装置だろうか\n画面に何か映し出されている…{END}
032B	越	6	game_dump\DATA\SCREVENT\MSG\EV008.DAT[1]: 時空を越えた…計画{END} | game_dump\DATA\SCREVENT\MSG\EV048.DAT[34]: そうだ…しかし、時空を越えている奴らに\n対し俺たちは各時代にバラバラだ…{END} | game_dump\DATA\SCREVENT\MSG\EV074.DAT[4]: 遥かなる時を越え蘇った…\n闇の支配者…{END} | game_dump\DATA\SCREVENT\MSG\EV079.DAT[11]: 時空を越えてまで望むものは何だ！{END} | game_dump\DATA\SCREVENT\MSG\EV079.DAT[16]: その為に時空を越えたのか！{END}
